Title,KruseID,Category,Workstream,ParentProjectName,Topic,Status,Description,ValueStatement,Audience,ProductOverview,ServiceTypes,ProjectManager,SOCOSponsor,DeployedTo,StakeholderDept,StakeholderRep,OriginatingOpCo,StartDate,EndDate,CompletionPct,TeamSize,MainLink,ParentLink,ChildLink,ParentProjectId,ChildProjectIds,RemovalReason
Civil Design Timekeeping,TRN-0020,Transmission Analytics,Transmission,Civil Design Project Suite,Workforce Analytics,Request Received,Tool for simplifying timekeeping for Oracle entry,,,,,Bob Favre,,APC,SCS Civil Design,Joe Godwin,,,,,,TBD,,,,,
Bill of Materials,TRN-0021,Transmission Analytics,Transmission,Civil Design Project Suite,,Scoping,Facility to allow Bill of Materials for work sites to be created and passed to Construction for estimates.,,,,,Bob Favre,,APC,SCS Civil Design,Joe Godwin,,,,,,TBD,,,,,
Civil Design Estimate Tool,TRN-0022,Transmission Analytics,Transmission,Civil Design Project Suite,,In Development,Tool to securely automate the creation of Civil Design estimates based on Construction estimates vetted with historical averages.,,,,,Bob Favre,,APC,SCS Civil Design,Joe Godwin,,,,,,TBD,,,,,
Integrations and Workflows,TRN-0014,Transmission Analytics,Transmission,Copperleaf,,In Development,Workflows and Integrations,,,,,,,,Transmission Organization,"Emily Boles, Josh McCurry",,,,,,,,,,,
Customer Experience Dashboard,TRN-0042,Transmission Analytics,Transmission,Customer Experience Dashboard,Customer Experience,Done - Deployed with Maintenance,A PowerBI dashboard that represents the actual customer experience of Distribution Customers during a Transmission Outage event.,,,,,,,APC,Transmission Reliability Council,APC Transmission Reliability Council,APC,,2024-12-01,,,https://tiny.sc/CustomerExperienceDashboard,https://tiny.sc/CustomerExperienceDashboard,,,,
Data Science Project w/Josh,TRN-XX10,Transmission Analytics,Transmission,Data Science Project w/Josh,,Request Received,Unkown specifics beyond project description,,,,,,,APC,PDDA-T,"Emily Boles, Josh McCurry",APC,,,,,,,,,,
Economic and Community Dev Reporting,TRN-0050,Transmission Analytics,Transmission,Economic and Community Dev Reporting,ECD,Done - Deployed with Maintenance,New Contract. Previously built out data pipeline diagram and potential architecture for reporting. Support of training internal staff on PowerBi.,,,,,,,,Economic Development,Deyse Lopez,,,,,,TBD,,,,,
JobsEQ data integration,TRN-XXX3,Transmission Analytics,Transmission,Economic and Community Dev Reporting,Automation,Done - Deployed without Maintenance,Developing data integration via API for JobsEQ that can work with the limiting functions of the subscription,,,,,,,APC,Economic Development,Deyse Lopez,APC,,,,,,,,,,
JobsEQ data integration,TRN-XXX3-1,Transmission Analytics,Transmission,Economic and Community Dev Reporting,Automation,Done - Deployed without Maintenance,Developing data integration via API for JobsEQ that can work with the limiting functions of the subscription,,,,,,,APC,Economic Development,Deyse Lopez,APC,,,,,,,,,,
JobsEQ data integration,TRN-XXX3-2,Transmission Analytics,Transmission,Economic and Community Dev Reporting,Automation,Done - Deployed without Maintenance,Developing data integration via API for JobsEQ that can work with the limiting functions of the subscription,,,,,,,APC,Economic Development,Deyse Lopez,APC,,,,,,,,,,
Enviromental Affiars Project Schedule,TRN-0094,Transmission Analytics,Transmission,Enviromental Affiars Project Schedule,Project Management Tools,In Development,PBi development of outsystems app created by summer CoOp for project schedule,,,,,Danny,,APC,Enviromental Affairs,Stacy Thompson,APC,,,,,,,,,,
GPC Project Health Dashboard,TRN-0007,Transmission Analytics,Transmission,GPC Project Health Dashboard,Project Management Tools,In Development,Work to provide GPC with a similar project tracking tool to what APC currently has,,,,,,,GPC,PDDA-T,Josh McCurry,GPC,,,,,,,,,,
Grid Investment FTD Scheduling Tool,TRN-0034,Transmission Analytics,Transmission,Grid Investment FTD Scheduling Tool,Project Management Tools,Scoping,Automate Fiber to Distribution (FTD) scheduling to track and manage fiber to distribution construction crews.,,,,,,,APC,Grid Investment,Adam Carr,APC,,,,,TBD,,,,,
Grid Investment Resource Planning Tool,TRN-0035,Transmission Analytics,Transmission,Grid Investment Resource Planning Tool,Workforce Analytics,Scoping,"Tool to manage resources efficiently to minimize mobilizations, route crews, and incorporate kill sets/specializations into work assignments.",,,,,,,APC,Grid Investment,Adam Carr,APC,,,,,TBD,,,,,
LiDAR QA / QC AI,TRN-0038,Transmission Analytics,Transmission,LiDAR QA / QC AI,AI,Scoping,Light Detection and Ranging (LiDAR) QA/QC point cloud data.,,,,,,,APC,Transmission Engineering Services,Jeff Roper,APC,,,,,TBD,,,,,
